time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-07-22 11:16:53,-114.1092,53.5475,928.1,768,14.2,13.9,13.9,98,98,10.84,146,0.4
2026-07-22 11:24:00,-114.0500,53.5300,850.0,1500,9.0,6.0,6.0,81,84,7.10,210,6.0
2026-07-22 11:43:00,-114.0000,53.5000,700.0,3100,-2.0,-9.0,-9.0,59,63,3.00,230,10.0
2026-07-22 12:03:00,-113.9000,53.4700,500.0,5600,-16.2,-22.5,-22.5,58,63,1.20,250,12.0
2026-07-22 12:18:00,-113.8000,53.4500,300.0,9200,-42.0,-51.0,-50.5,35,43,0.20,260,18.0
2026-07-22 12:38:00,-113.7000,53.4300,200.0,11800,-57.0,-66.0,-65.0,22,31,0.06,265,20.0
2026-07-22 12:58:00,-113.6000,53.4200,100.0,16400,-72.1,-79.5,-78.9,8,14,0.02,270,22.0
2026-07-22 13:03:00,-113.5500,53.4150,70.0,18500,-69.0,-87.0,-84.0,3,7,0.01,275,23.0
2026-07-22 13:08:00,-113.5000,53.4100,50.0,20500,-64.0,-92.0,-87.0,2,5,0.01,280,24.0
2026-07-22 13:12:00,-113.4500,53.4050,30.0,23500,-56.0,-98.0,-90.0,1,3,0.01,285,25.0
2026-07-22 13:15:00,-113.4000,53.4000,20.0,26000,-51.0,-101.0,-92.0,1,2,0.01,290,26.0
2026-07-22 13:18:00,-113.3500,53.3950,10.0,30000,-44.0,-106.0,-95.0,1,2,0.01,295,27.0
